@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric

@data
3888,'2017/06/28 12:14:06:480',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3889,'2017/06/28 12:14:06:495',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3890,'2017/06/28 12:14:06:515',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3891,'2017/06/28 12:14:06:530',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3892,'2017/06/28 12:14:06:546',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3893,'2017/06/28 12:14:06:563',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3894,'2017/06/28 12:14:06:579',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3895,'2017/06/28 12:14:06:595',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3896,'2017/06/28 12:14:06:612',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3897,'2017/06/28 12:14:12:245',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3898,'2017/06/28 12:14:12:261',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3899,'2017/06/28 12:14:12:278',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3900,'2017/06/28 12:14:12:295',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3901,'2017/06/28 12:14:12:312',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3902,'2017/06/28 12:14:12:328',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3903,'2017/06/28 12:14:12:345',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3904,'2017/06/28 12:14:12:362',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
